"APPLICATION_NAME","FULL_NAME","TEXT","DATA_MODEL_URL","MINISTRY_NAME","DIVISION_NAME","BRANCH_NAME","SECTION_NAME","APPLICATION_CLASS_CODE"
IIMS,Incident Information Management System - NOT IN USE see WebEOC,"Incident Information Management System - WebEOC
Environmental Emergencies, Environmental Emergencies and Land Remediation Branch


Historically belonging to: Ministry of Environment and Climate Change Strategy, Environmental Protection, Environmental Emergencies and Land Remediation, Environmental Emergency Program",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Business Service Desk & Product Transition,STD
ILC,Interior Log Cost Report,"This project will upgrade the existing ICLS application technology platform to remove the
dependency on old outdated legacy technology. It will also enhance the ability for data entry by
allowing clients to submit reporting data via updated web forms. The project will also be
including some identified new requirements that will assist Ministry staff in better processing,
monitoring, and reporting of the application data.",approved,Ministry of Forests,"Timber, Range and Economics Division",Timber Pricing Branch,N/A,STD
ILCR,INTERIOR LOGGING COSTS REPORTING,"The Interior Logging Cost Reporting application is an online system used by the Ministry of Forests, Lands and Natural Resource Operations (MFLNRO) to collect annual cost information and other technical details from approximately 60 licensees. The data is translated, analyzed, and audited to develop equations for the Interior Appraisal Manual (IAM) where it is used to set interior stumpage rates.

NOTE: Anytime the US Delegation is in Canada there can be NO deployment into the PRODUCTION environment! 

The Business Area received guidance from legal counsel that we should not make any changes in PROD environment during the time that US Department of Commerce is on site next week.  Counsel does not want to take on the potential risk of PROD deployment interruptions or postponements during the verification process.  ",https://erstudio.nrs.gov.bc.ca/getDiagImage.spg?image=488c0ae743514c87b5a41249bb944ae3,Ministry of Forests,"Timber, Range and Economics Division",Timber Pricing Branch,N/A,STD
ILCS,Interior Log Cost Survey,"The Interior Logging Cost Reporting application is an online system used by the Ministry of Forests, Lands and Natural Resource Operations (MFLNRO) to collect annual cost information and other technical details from approximately 60 licensees. The data is translated, analyzed, and audited to develop equations for the Interior Appraisal Manual (IAM) where it is used to set interior stumpage rates 

From former BSD WIKI:
Access to the ILCR is obtained by submitting the access request forum on the ILCR web page

https://forms.gov.bc.ca/industry/interior-logging-cost-reporting-tool/",,Ministry of Forests,"Timber, Range and Economics Division",Timber Pricing Branch,N/A,STD
ILRR,Integrated Land and Resource Registry ,"Integrated Land and Resource Registry (ILRR) - including Acquirers. ILRR is the single source of information on rights and interests in land and resources within the Province of British Columbia. This is a legislated MISSION CRITICAL PUBLIC FACING application.

Note: This application is business-critical for BC Wildfire Services.  BCWS staff use ILRR to determine land ownership and maintainer/owner of Forest Resource Roads (RRS)(effective 12-2021), for example to set up an occupancy agreement for a fire camp being deployed.",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,Foundational Information and Technology,Base Mapping & Remote Sensing Section,ISSSCA
IMAGEDB,Image Database,"Image Database is a MS Access 97 database, that resides on a Network drive. It needs to be converted to Access 2007, during the upcoming Upgrade 2.

Sep. 2, 2014 - Saunder Thom - This is just a MS Access database.",,Ministry of Environment and Climate Change Strategy,Conservation and Recreation,Provincial Services,UNKNOWN,STD
IMAPBC,iMapBC,"Web Based graphical display of layer data. View the Information: Use the Access Service iMapBC tool to easily view, create or print a map of any specifi ed area in the province.
Analyse the Information:
Advanced GIS government staff use the Access
Service Arcview or ArcInfo tools to create custom
maps, etc.  - this application is hosted and managed by DataBC",,Ministry of Citizens Services,Digital Platforms and Data Division,Data Systems and Services,Data and Services - DataBC,STD
IMF,Internet Map Framework - RETIRED,"Internet Map Framework - Common Service - Application is coming to an end as of fiscal 2015. 5 applications remaining and are scheduled to move to common web mapping. Replaced by Geocortex Essentials aka (IMF2).
confirmed retired - Nicole de greef july 2017

Historically belonging to: Ministry of Citizens Services, Digital Platforms and Data Division, Data Systems and Services, Data and Services - DataBC",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Business Service Desk & Product Transition,STD
IMFAUTO,IMF Auto Save - RETIRED,"31-JUL-2020(JL) - NICOLE DE GREEF FROM CITZ VERIFIED THIS APPLICATION IS RETIRED.
IMF 5.1 Extension to keep saved sessions alive.

This is no longer in use; the $IMF/ext/common/ extension replaces it.

Historically belonging to: Ministry of Citizens Services, Digital Platforms and Data Division, Data Systems and Services, Data and Services - DataBC",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Business Service Desk & Product Transition,STD
IMIS,Inventory Management Information System,"Inventory system used by BC Wildfire Service for tracking, ordering and transferring firefighting equipment and supplies.",,Ministry of Forests,BC Wildfire Service,N/A,N/A,STD
INAP,Inventory of Applications - RETIRED,[LOB Data]Inventory of Applications,,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Application Infrastructure,STD
INCOSADA,Forest Tenure Business Support - RETIRED,"[INAP DATA]Help Desk consolidation and support

From former BSD WIKI:
Major Forestry initiative to create a current, complete and managed database of information about the land base. INCOSADA will provide a standardized set of corporate spatial and attribute data (I.e. map and text data) with common database structures. INCOSADA will deliver a single suite of tools to Land Information Management staff to support file update and management. ISDD is a set of ORCLE tables defining data standard. There is also a WEB app that queries ISDD. VEGCAP is a vegetation system that will replace FIP/FC1. RTECAP is a tenure processing application that will replace FAMAP

Database - IDWPROD1
Database Server - SLKUX1

Historically belonging to: Ministry of Forests, Lands, Natural Resource Operations and Rural Development, Rural Opportunities, Tenures and Engineering Division, Forest Tenures Branch, UNKNOWN",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Business Service Desk & Product Transition,STD
INCOSADA2,Incosada replacement tool - RETIRED,"[INAP DATA]

Historically belonging to: Ministry of Forests, Lands, Natural Resource Operations and Rural Development, Rural Opportunities, Tenures and Engineering Division, Forest Tenures Branch, UNKNOWN

Historically belonging to: Ministry of Water, Land and Resource Stewardship, UNKNOWN, UNKNOWN, UNKNOWN",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Business Service Desk & Product Transition,STD
INCOSADA3,Integrated Corporate Spatial and Data Attribute Database - RETIRED,"Major Forestry initiative to create a current, complete and managed database of information about the land base. INCOSADA will provide a standardized set of corporate spatial and attribute data (I.e. map and text data) with common database structures. INCOSADA will deliver a single suite of tools to Land Information Management staff to support file update and management. ISDD is a set of ORCLE tables defining data standard. There is also a WEB app that queries ISDD. VEGCAP is a vegetation system that will replace FIP/FC1. RTECAP is a tenure processing application that will replace FAMAP.

2015-Nov-09 TQIN: Email reply from Cheryl Edwards, dated 2015-Oct-20, indicated that she believes INCOSADA is long retired.


Historically belonging to: Ministry of Forests, Lands, Natural Resource Operations and Rural Development, Rural Opportunities, Tenures and Engineering Division, Forest Tenures Branch, UNKNOWN",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Business Service Desk & Product Transition,STD
INFOBASKET,InfoBasket - RETIRED,"InfoBasket is a Web Portal application (running on BEA`s COTS product - Plumtree) organised into areas of interest called Communities (e.g. Apiculture or Beef). Each Community is comprised of folders, such as Production and Processing, Business Management and Finance, Marketing and Trade, Regulations and Legislation, Directories and Contacts and Statistics and Market Data. Within these folders you will find links to documents specific to your agri-business needs. 

March 6, 2015 - Saunder Thom - This application was retired 5 years ago - serbvers, CMS software and all things associated with it were long gone.

Changed status from Retirement in Progress to Retired.

Historically belonging to: Ministry of Agriculture, Food and Fisheries, Business Development Division, Innovation and Adaptation Services Branch, Market Development and Promotion",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Business Service Desk & Product Transition,COTS
INTELLA,Intella Team,"Software is a COTS solution that comprises:
- Server software (Intella Team) logged into the console under the account IDIR\ENVINTLA, running one Intella Manager instance per case that is being shared, over one port from TCP range 8080-8100, using one Intella Team Manager license.
- Client software hosted on various Citrix servers running Intella View, using one licence per user, reading cases from the Intella Manager on TCP port 8080-8100 (one port per case)
- License managers on each of the Intella Viewer terminal servers, and the Intella Manager server address (on TCP port 1947) an Aladdin Sentinel service managing keys off a HASP dongle, installed on the Intella Manager server.  
- Each server must have an Aladdin Sentinel HASP license client installed, and have firewall rules in place to allow the necessary port access.
- The App Admin must use the IDIR\ENVINTLA account to login and share cases on the Intella Manager server, to prevent their own account password expiration from causing the sharing to fail. IDIR\ENVINTLA password must be change at least twice a year, and the new password given to Apps Delivery over the phone.

Support documentation available at:
- End user documentation - https://bcgov.sharepoint.com/sites/ENV-INTELLA/Shared%20Documents/Forms/AllItems.aspx

- Case Team Manager (Intella Server) is used to create cases, add data to cases, share cases (Team), and manage access to cases (Team).
- Viewer (Intella Citrix-hosted client) can do everything that an indexing version of Intella can do apart from creating cases, indexing data and adding data to existing cases. 

Note that cases are made with an indexing version of Intella via the Case Manager. If you have Viewer, you will still have the Case Manager but the option to create a case will be disabled.

Server Restarts: The Sentinal LDK service is set to `manual` restart. This prevents the first user from taking the only license. A user will need to re-share cases after server restarts. (INCOGNITO.) ",,Ministry of Environment and Climate Change Strategy,Conservation and Recreation,Conservation Officer Service,N/A,COTS
INVBC,InvasivesBC,"New database and application to be the corporate provincial system for all invasive species data.
Built in an agile environment with modern technology. ",,Ministry of Forests,"Timber, Range and Economics Division",Range Branch,N/A,PAAS
IPS,Integrated Petroleum Systems,"According to the Petroleum and Natural Gas Act (PNG) we are obligated to establish and maintain a registry of the Crown`s petroleum and natural gas tenures.  This system will manage and administer petroleum tenure information, process financial information and revenue received, as well as the monthly petroleum and natural gas right sales. The monthly petroleum and natural gas rights sale is now the single largest source of provincial revenue derived from a natural resource. 

ActiveXperts checks added to HALO to monitor AutoProc log file and service.

Requires access to OGC databases rhel-gamma.bcogc.local. See notes.",https://erstudio.nrs.gov.bc.ca/getDiagImage.spg?image=8748fef405034e32bea72dd032544e6d,"Ministry of Energy, Mines and Low Carbon Innovation",Energy Resources Division,Tenure and Resource Stewardship Branch,N/A,STD
IPSMV,Integrated Petroleum System Map Viewer - RETIRED,"Retired and part of IPS

A component of IPS, deployed by CDaWS

Historically belonging to: Ministry of Energy, Mines and Petroleum Resources, Oil and Gas Division, Tenure and Geoscience Branch, Tenure and Revenue Management",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Business Service Desk & Product Transition,STD
IPSWEB,Integrated Petroleum System Web Query Tool,"IPSWeb is a public facing web application that allows users to query the IPS database for Client and Petroleum Title information. Because of the sensitive nature of some data within the database, IPSWeb only reports out public, non-sensitive data to its users.",,"Ministry of Energy, Mines and Low Carbon Innovation",Energy Resources Division,Tenure and Resource Stewardship Branch,N/A,STD
IPT,iMapBC Plotting Templates - RETIRED,"The main objective of the IPT project is to develop a set of xml print templates that can be used in the Internet Mapping Framework (IMF) for the iMapBC application for PDF map creation.  These templates are all contained in one print configuration xml file, as defined by the core IMF print routines.

Historically belonging to: Ministry of Citizens Services, Digital Platforms and Data Division, Data Systems and Services, Data and Services - DataBC",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Business Service Desk & Product Transition,STD
IRB,IRB Toolbox,"Launch page for utilities
BPM confirmed - Oct. 19-2017 - TL",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Business Service Desk & Product Transition,STD
IRS,Infrastructure Reporting System,"IRS is an application utilized by NRIDS to track infrastructure and application dependencies, and participants.  It also provides a reporting mechanism for infrastructure and application outages, and change impact assessment, and can create list of personnel contacts for change notifications and application outages.  It is the source of truth for application technology use, hosting, and technical and non-technical participant and there roles related to each application. 

IRS is a web-based system built on sector standard technologies, including Oracle database, and Docker application servers.  It also interacts with the standard government authentication services and the standard Ministry authorization service provided by WebADE. 

Everyone with an IDIR can view information in IRS. Editing access is limited to NRIDS staff.
See:
https://apps.nrs.gov.bc.ca/int/confluence/display/IRS/Maintaining+Data+in+IRS

",https://erstudio.nrs.gov.bc.ca/getDiagImage.spg?image=cbff468295424c46851865a86613b648,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Business Service Desk & Product Transition,STD
ISDUT,Integrated Spatial Data Update Tools,"2020/08/31 MC
ISDUT is no longer in use - has been replaced with SUITT
Integrated Spatial Data Update Tools project is a suite of software tools to perform spatial updates to data currently within FADM and Tantalis, with the potential for future extension to other legal boundary types and business areas within GeoBC.",https://erstudio.nrs.gov.bc.ca/getDiagImage.spg?image=c105c9935cd540558e5e38712aeba72b,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,Integrated Data and Analysis Services,Decision Support Section,STD
ISMC,Inventory Sample Management Consolidation Host and Base/EFR,"The  Inventory Sample Data Management System provides interactive access to historical inventory sample data from each of the supported business areas.  It will allow authorized individuals to search for, retrieve, view and edit sample records.  The system will queue incoming sample data from field recorders, allowing the records to be vetted and approved before incorporation into the corporate database.
The only tool used to extract, add, analyse, and modify the ISMC (Data).

ISMC is comprised of two different solutions that need to stay in sync.  ISMC Host is the Oracle/Web based tool. ISMC Base/EFR is a windows desktop app and a handheld (Allegro 2).  The Host and Base/EFR communicate thru a JSON file. 

Solution Purpose:
Capturing and storing and analysing field inventory data used to support VRI and TSR (Timber supply review) and annual allowable cuts.
",https://erstudio.nrs.gov.bc.ca/getDiagImage.spg?image=8d503b358b014256bd5724d86a7655f0,Ministry of Forests,Office of the Chief Forester,Forest Analysis and Inventory Branch,N/A,STD
ISP,Interior Selling Price,This application records Industry invoice and trend data.  Timber Pricing and Revenu Branch analyzes this Industry data and provides selling price data to be used to determine stumpage (via the GAS app),https://erstudio.nrs.gov.bc.ca/getDiagImage.spg?image=6ba1567f2a70492eaf18740a40a46a7a,Ministry of Forests,"Timber, Range and Economics Division",Timber Pricing Branch,N/A,STD
ITRIM,Intelligent Terrain Resource Information Mapping,"Intelligent Terrain Resource Information Mapping
BPM confirmed - Sep. 19-2017 TL",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,Foundational Information and Technology,Base Mapping & Remote Sensing Section,STD
ITVR,Income Tested Electric Vehicle Rebates,An online application form to capture personal information and consent to obtain income information from the Canada Revenue Agency to determine a rebate amount for the purchase of an electric passenger vehicle for an individual or household.,https://erstudio.nrs.gov.bc.ca/getDiagImage.spg?image=b7b83849e0414991b50371b58f272804,"Ministry of Energy, Mines and Low Carbon Innovation",UNKNOWN,UNKNOWN,UNKNOWN,PAAS
JBI,Jasper Business Intelligence,"Provides ad-hoc reporting services for sector data.  It is composed of Jasper Professional running on Apache Tomcat with a MySQL repository, plus custom additions for WebADE integration and administration scripts.",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,NR Sector Digital Services,Architecture & Business Strategy,STD
JCRS,Jasper Corporate Reporting System,"JCRS provides reporting services for sector applications. It is composed of Jasper Community Edition running on Apache Tomcat with a MySQL repository, plus custom additions for WebADE integration and administration scripts.

Tomcat is clustered in both test and prod.

Prod has 2 Apaches; 1 for test. Are not on the Tomcat servers.",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Application Infrastructure,COTS
JENKINS,Jenkins,"Jenkins is the automated build and deployment tool used by the Application Delivery team. A master installation exists on the server DEPLOY, while a slave installation exists on each of the DLVR, TEST and PROD environments.",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Application Infrastructure,COTS
JENKINS-CRON,Jenkins-CRON,On demand or scheduled tasks for applications that can be executed by the application admin.,,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Application Infrastructure,COTS
JENKINS-ISSS,Jenkins-ISSS,Jenkins-ISSS is the automated build and deployment tool used by the Application Delivery team. This instance is used for the deployment of Wildfire and ISSS(NRPP) applications created using micro-services.,,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Application Infrastructure,COTS
JENKINS-SMT,Jenkins-SMT,SMT Jenkins is the automated build and deployment tool used by the Application Delivery team. This instance is used for the deployment of the Linux Tomcat applications.,,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Application Infrastructure,COTS
JIRA,Jira (GeoBC),"JIRA is a proprietary issue tracking product, used for bug tracking, issue tracking and project management. ",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,Foundational Information and Technology,Base Mapping & Remote Sensing Section,COTS
JOBS,BCFS Seasonal Job Opportunities,Status re-verified as per BPM - Nov 2019: This application publicly displays a list of BCFS seasonal job opportunities and provides selected WMB staff with the ability to maintain the list themselves.,,Ministry of Forests,BC Wildfire Service,N/A,N/A,LW
KEYCLOAK,Keycloak,"Keycloak is an open source software product which allows single sign-on with Identity and Access Management aimed at modern applications and services.
Users authenticate with Keycloak rather than individual applications. This means that your applications don`t have to deal with login forms, authenticating users, and storing users. Once logged-in to Keycloak, users don`t have to login again to access a different application. This also applies to logout.",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Application Infrastructure,COTS
LANDSLIDE,Southern Interior Forest Region - Landslide Erosion Database,TBD,,Ministry of Forests,Integrated Resource Operations Division,Engineering Branch,N/A,STD
LDBC,LANDDATA BC  - RETIRED,"[LOB Data]LANDDATA BC.  This application has been retired March 31,2006, and replaced by Base Map Online Store (MTEC). 
* adding BPM Sept 18,2017 - TL

Historically belonging to: Ministry of Forests, Lands, Natural Resource Operations and Rural Development, Integrated Resource Operations Division, GEOBC, Base Mapping",http://iwww.elp.gov.bc.ca:8000/pls/robread/odwa_fol.go?p_session_id=10321&p_ivid=1295334773290177679665679051870424768,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Business Service Desk & Product Transition,STD
LEH,Limited Entry Hunt Draws - RETIRED,"Annual operation of lottery process to assign hunting opportunities where intensive mgmt of resource required.

HunterSurvey under HS
https://a100.gov.bc.ca/int/irs/viewApplication.do?name=HS

From former BSD wiki:
This application has been replaced by WILD",https://a100.gov.bc.ca/int/robread/odwa_fol.go?p_session_id=58937&p_ivid=354572426260781022435765039321028101,"Ministry of Water, Land and Resource Stewardship",N/A,N/A,N/A,STD
LEICA,Leica Geosystems,"This application is used by user to enter GPS data collected in the field. 
IIT installed on Windows server Client License Manager (CLM) for Floating Licenses version 1.7.2000.3",,Ministry of Forests,Integrated Resource Operations Division,Engineering Branch,N/A,COTS
LEXIS,Log Exemption Information System,This application will be used to record applications for exemption to advertise for timber grown on Federal or Provincial land within B.C. This application will accept data in XML format from Industry for the EMS application ,https://erstudio.nrs.gov.bc.ca/getDiagImage.spg?image=d69727be7780409fbce49cb553cd14d2,Ministry of Forests,"Timber, Range and Economics Division",Economics and Trade Branch,N/A,STD
LEXISVC,LEXIS Services,This application is a distributed component of the LEXIS application that receives and automatically processes incoming XML submissions from ESF. The services within this application are responsible for updating / inserting information into LEXIS tables.,http://www.for.gov.bc.ca/pscripts/isb/idd/apps_log.asp#MAX,Ministry of Forests,"Timber, Range and Economics Division",Economics and Trade Branch,N/A,STD
LEXISWS,LEXIS Web Service,"This application provides web services for LEXIS. EXCOL, an external federal application, connects to this web service.",http://www.for.gov.bc.ca/pscripts/isb/idd/apps_log.asp#MAX,Ministry of Forests,"Timber, Range and Economics Division",Economics and Trade Branch,N/A,STD
LIFERAY,Liferay Portal,"Liferay

Access granted through ADAM application. (Chun)",,"Ministry of Water, Land and Resource Stewardship",UNKNOWN,UNKNOWN,UNKNOWN,COTS
LIMS,Laboratory Information Management System,"The Laboratory Information Management System is used by the Analytical Lab at 4300 North Road to manage the samples and results for testing they perform for various clients.

April 2023 - Concept case submitted for Capital Funds to have one LIMS, to support AFF and ENV. Platform Services team is working on a Low to No code version that may incorporate with AFF LIMS.",,Ministry of Environment and Climate Change Strategy,Environmental Protection,Environmental Monitoring and Analysis,"Lab Services, Data Management & Reporting",LW
LINKNET,LinkNet,"ATS Citrix deployed, MS-Access front-end application.
A contact information system designed for the front counter staff to deal with public inquiries. Previously known as MAFFQUEST (MAFFQ or MAFQ). Intended to replace the legacy Agriculture Request application.",https://erstudio.nrs.gov.bc.ca/getDiagImage.spg?image=626de0eb621c4b53bd3151e5047044be,Ministry of Agriculture and Food,Agriculture Resource Division,Business Risk Management Branch,N/A,STD
LIQUIBASE,Liquibase,"Liquibase is an open-source database-independent library for tracking, managing and applying database schema changes.
We are using the Community (free) version to support and streamline data changes needed to support NRM applications.",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Application Infrastructure,STD
LMFDB,Large Mammal Flight Database - RETIRED,"[INAP DATA]Application that stores information for contract flights, as well as all sighting / habitat data produced by the contract.  Links to GOAT have been created for plotting out points.

Historically belonging to: Ministry of Environment and Climate Change Strategy, Information Innovation and Technology Division, N/A, N/A",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Business Service Desk & Product Transition,STD
LNGCANADA,LNG Canada Information Hub,"A website that brings details together in one area in order to bring visually appealing, easy to understand, information and transparency to the LNG Canada/CGL pipeline projects.  LNG Canada is a proposed terminal facility in Kitimat, Coastal Gas Link is a pipeline from the Dawson Creek area 670km to Kitimat.",,"Ministry of Energy, Mines and Low Carbon Innovation",Energy Resources Division,Energy Economics and Royalties Branch,N/A,PAAS
LRDW_CATALOGUE,Land and Resource Data Warehouse Catalogue - RETIRED,"This was eventually replaced with the BC Data Catalogue and rebranded to the Data Discovery Service. This catalogue provides a view of all spatial layers currently available in the Land and Resource Data Warehouse.

Using this map service you can browse spatial data by subject and get a view of the spatial geometry currently contained in the warehouse. You can also view any attribution which is directly associated with the displayed geometry. As new spatial data is published to the Land and Resource Data Warehouse, this map service will be updated to include this new information. 




Historically belonging to: Ministry of Citizens Services, Digital Platforms and Data Division, Data Systems and Services, Data and Services - DataBC

Historically belonging to: Ministry of Citizens Services, Digital Platforms and Data Division, Data Systems and Services, Data and Services - DataBC",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Business Service Desk & Product Transition,STD
LRMBCTS,Land Resource Manager - BCTS Version,The Land Resource Manager is a product by the vendor Trimble Inc.  This is a full operational forest management application with a spatial component.,https://erstudio.nrs.gov.bc.ca/getDiagImage.spg?image=7080ea52c5b442b8a4ba8468f8ed47b9,Ministry of Forests,"Timber, Range and Economics Division",BC Timber Sales Branch,N/A,COTS
LRMOPS,Land Resource Manager Operations,"This application is the replacement for FRMA. It uses ESRI ArcGIS Desktop and VBA Compatibility and recommend using Direct Connects to a Arc GIS Server. It is one of 3 Trimble Land Resource Manager (LRM) instances supported by IITD.  Currently using Arcmap 10.8.1 (not listed as a technology below).

Current version LRM 5.3 uses ArcGIS 10.8.1

Available to ministry staff for administration and management of forest roads in British Columbia. The goal of LRMOPS is to provide a standardized application for administering and managing forest roads.",,Ministry of Forests,Integrated Resource Operations Division,Engineering Branch,N/A,COTS
LSEEIP,LiveSmart BC Energy Efficiency Incentive Program - RETIRED,"Called `LiveSmart` for short. Used to consolidate incentives for energy conservation and efficiency improvements; based on approved energy efficiency application data received from NRCan, the system will determine whether the application is qualified for BC rebate, calculate the rebate and generate the rebate cheque to BC residents.

Feb 2023: Domain name renewed. Redirects to BetterHomesBC.ca. Contact: betterhomesbc@gov.bc.ca (Katie Terhune EMLI:EX.)",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Business Service Desk & Product Transition,STD
LSSS,Lake and Stream Summary System,"An interactive intranet application in ASP for viewing and querying integrated stream, lake and fisheries management information from a number of databases, both federal and provincial. The system has both text and map (IMS) search functionality and a secure data entry entry component for use by fisheries managers.  There is also a secure administration site.",https://erstudio.nrs.gov.bc.ca/getDiagImage.spg?image=92957614276c405b818472dcb46e3c9d,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,Integrated Data and Analysis Services,Ecosystem Information,STD
LSWPR,Lansweeper Network Inventory,"An automated network inventory, discovery and asset management tool which scans all NRS computers and devices, and displays them in an easy accessible web interface.",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,Digital Partnerships and Solutions,Office Productivity Services,STD
LTRACK,Litigation Case Document Search and Disclosure Tracking,This Application provides for the recording and tracking of litigation cases and document tracking. It also does document search management and document tracking,https://erstudio.nrs.gov.bc.ca/getDiagImage.spg?image=049786550dc84cfe96322e81fc34a19e,Ministry of Forests,Deputy Ministers Office,Strategic Priorities Group,N/A,STD
LUCO,LUCO Sea Sky Contacts,"Last updated: 04-Aug-2020(JL)- [INAP DATA]Contact List of all Sea to Sky LRMP stakeholders.  Includes all publications, and when they were sent out.",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,Foundational Information and Technology,Base Mapping & Remote Sensing Section,STD
LUDT,Land Use Decision Tool,"IMap Theme, developed years ago, but never ended up getting used. Recently (2014-03-24) it was deemed ok to be Shut Down to see who complains.",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Business Service Desk & Product Transition,STD
LUP TEMPLATE,Land Use Planning Template,"[LOB Data]Land Use Planning Template
BPM confirmed - Oct. 19-2017 - TL",,"Ministry of Water, Land and Resource Stewardship",UNKNOWN,UNKNOWN,UNKNOWN,STD
LVS,Licence Vendor Search,"Tool utilized to manage license vendors. The Licence Vendor Search allows the public to search for vendors of BC Freshwater Fishing Licences, BC Hunting Licences as well as the Government Agent Offices* which dispense them.** These locations can also provide a free copy of the British Columbia Freshwater Fishing Regulations Synopsis or the British Columbia Hunting and Trapping Regulations Synopsis. 

Nov 2016: The `application` is an MS Access database that creates a JSON file (on SATYR) ... and is a stop gap measure to make it look more modern and in step with the Hunting Transformation. Waiting on funding in next Fiscal.

Update 2021: replaced by we use the following webpage for this purpose now: https://www2.gov.bc.ca/gov/content/sports-culture/recreation/fishing-hunting/hunting-and-fishing-licence-retail-vendors",,"Ministry of Water, Land and Resource Stewardship",N/A,N/A,N/A,STD
LWSRY,FloodPlains Information System (Surrey) - RETIRED,"LWSRY (Land & Water Surrey?) contains TWO applications, FloodPlain and WADS (Water Applications Database).

The WADS application has been decomissioned, but FLOODPLAIN continues.

Created a WADS_DATA subdirectory with csv dumps, and export, and other info from lwsry. 

LWSRY HAS BEEN RETIRED. IT IS NO LONGER ACTIVE.",,"Ministry of Water, Land and Resource Stewardship",UNKNOWN,UNKNOWN,UNKNOWN,STD
LZRGEN,Lasergene,is a DNA analysis package of which the ministry purchased the following modules: a) SeqBuilder; b) SeqMan; c) EditSeq; d) PrimerSelect; and e) MegAlign,,Ministry of Agriculture and Food,"Science, Policy and Inspection Division",Plant and Animal Health Branch,Animal Health Center,COTS
MAILSCHEDULER,MAILSCHEDULER,A system to queue up news for Forest applications,,Ministry of Forests,N/A,N/A,N/A,STD
